,,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,0.91,0.911,0.912,0.913,0.914,0.915,0.916,0.917,0.918,0.919,0.92,0.921,0.922,0.923,0.924,0.925,0.926,0.927,0.928,0.929,0.93,0.931,0.932,0.933,0.934,0.935,0.936,0.937,0.938,0.939,0.94,0.941,0.942,0.943,0.944,0.945,0.946,0.947,0.948,0.949,0.95,0.951,0.952,0.953,0.954,0.955,0.956,0.957,0.958,0.959,0.96,0.961,0.962,0.963,0.964,0.965,0.966,0.967,0.968,0.969,0.97,0.971,0.972,0.973,0.974,0.975,0.976,0.977,0.978,0.979,0.98,0.981,0.982,0.983,0.984,0.985,0.986,0.987,0.988,0.989,0.99
MaxWt,Avg Queue Length,0.011090333,0.049693,0.125998222,0.254435556,0.462225778,0.797559778,1.377301889,2.570499333,6.214133,7.042070222,7.14428,7.209181556,7.344927889,7.424753222,7.529113556,7.636216444,7.722664222,7.824429556,7.925761111,8.049944,8.174109778,8.322619889,8.426405111,8.573483667,8.744883444,8.814748889,9.013492333,9.102520222,9.242239778,9.394828667,9.56849,9.693861778,9.866587444,10.03730378,10.20029267,10.39152311,10.56454311,10.68972733,11.002688,11.274734,11.41251433,11.51295244,11.77563322,12.04905344,12.30177689,12.503331,12.79360078,13.110673,13.365813,13.654654,13.98585922,14.37646289,14.48089678,14.91652633,15.29488622,15.57695744,16.24661989,16.50493922,16.85047033,17.41774722,17.72759167,18.40799467,18.68941822,19.40290989,20.21686467,20.99504478,21.41525244,21.96738844,22.70603489,23.59646944,24.473674,24.92370733,26.25066189,27.67138289,28.62637322,29.72893411,30.85135033,32.23353133,34.62391511,36.74740433,38.79596867,40.64793344,43.08648178,45.65645811,48.14504022,52.37370767,56.62411711,58.55487256,69.39020856,73.14525133
MaxSize_random,Avg Queue Length,0.011089,0.049712556,0.126703111,0.258972111,0.474464,0.832024,1.452448,2.706977222,6.467364889,7.333595889,7.379595333,7.475578889,7.588531222,7.718990889,7.799899444,7.892497667,7.974046889,8.128282111,8.216671778,8.360424889,8.494856778,8.568126444,8.729920333,8.882323778,8.990652333,9.088615222,9.248208667,9.457793778,9.525536667,9.656013556,9.889226889,9.965316889,10.18321733,10.390281,10.47821433,10.69628433,10.91525333,11.01107944,11.39029067,11.45767267,11.78977211,11.95889044,12.14675311,12.427757,12.55044489,12.81526278,13.12888733,13.47110367,13.67746567,14.09061578,14.29126,14.68295644,14.97388289,15.28792133,15.92886911,15.94655911,16.39266722,16.78954233,17.36513189,17.68835067,17.97508756,18.80399111,19.45221589,19.74157089,20.29594522,21.17153589,21.63736767,22.87248422,23.28237922,24.09392656,25.29125256,25.56719833,26.64187778,27.80025911,28.58431089,30.17630667,32.18799256,33.68931189,34.71624,36.06441822,38.24245733,40.25872767,43.68654622,44.19578122,50.83582622,53.44215433,56.10062411,61.76069533,68.411703,73.40585667
MaxSize_PriMaxWt,Avg Queue Length,0.011119222,0.049395444,0.125352667,0.253411667,0.456728778,0.776559667,1.314762889,2.377814778,5.556151,6.287936556,6.322278778,6.432252444,6.49593,6.612223,6.690041556,6.768579556,6.857671222,6.912974333,7.054426667,7.134304444,7.263138333,7.377012556,7.434471,7.587268,7.655311556,7.796293222,7.904986111,8.036915333,8.205567333,8.303964556,8.412123444,8.551858222,8.755035778,8.816880333,9.015031778,9.168954667,9.316405111,9.507778556,9.639179778,9.842128,9.977622667,10.18772422,10.37115722,10.59699633,10.77712867,11.04837522,11.26277011,11.37137067,11.73693567,11.94706122,12.19734556,12.47112644,12.73262356,13.02549933,13.42013211,13.65647178,13.958278,14.327893,14.55996744,15.29452289,15.48243189,15.957449,16.34206478,16.89798644,17.44593533,18.15683144,18.63054622,18.95428133,19.91791144,20.54351389,21.05451489,22.21050311,22.80760567,23.91925656,24.84354989,25.66819322,26.86811967,28.35001133,29.83417911,31.00747811,33.32635756,34.60882344,37.32671656,39.96365011,42.89692533,44.42107978,48.64126233,52.55715811,58.25260333,65.16119044
